team_id,team_name,season,runs,pa,ab,h,b2,b3,hr,bb,hbp,sf,tb,rbi,avg,obp,slg
137,San Francisco Giants,2013,629,6168,5552,1446,280,35,107,469,39,42,2117,596,0.260446686,0.320222878,0.381304035
116,Detroit Tigers,2010,751,6312,5643,1515,308,32,152,546,41,41,2343,717,0.268474216,0.335193749,0.415204678
135,San Diego Padres,2010,665,6148,5434,1338,236,24,132,538,50,46,2018,630,0.246227457,0.317402769,0.371365477
147,New York Yankees,2013,650,6044,5449,1321,247,24,144,466,57,36,2048,614,0.242429804,0.306924101,0.37584878
112,Chicago Cubs,2014,614,6102,5508,1315,270,31,157,442,54,41,2118,590,0.238743646,0.299586435,0.38453159
135,San Diego Padres,2012,651,6112,5422,1339,272,43,121,539,54,34,2060,610,0.246956842,0.319391635,0.379933604
109,Arizona Diamondbacks,2014,615,6089,5552,1379,259,47,118,398,43,36,2086,573,0.248378963,0.301874274,0.375720461
111,Boston Red Sox,2010,818,6356,5646,1511,358,22,211,587,47,46,2546,782,0.267623096,0.339076826,0.450938718
118,Kansas City Royals,2012,676,6149,5636,1492,295,37,131,404,42,41,2254,643,0.264726757,0.316511514,0.399929028
110,Baltimore Orioles,2013,745,6144,5620,1460,298,14,212,416,36,45,2422,719,0.259786477,0.312571522,0.430960854
120,Washington Nationals,2010,655,6100,5418,1355,250,31,149,503,60,47,2114,634,0.250092285,0.318181818,0.390180879
146,Miami Marlins,2013,513,6021,5449,1257,219,31,95,432,56,26,1823,485,0.230684529,0.292637934,0.334556799
117,Houston Astros,2012,583,6014,5407,1276,238,28,146,463,58,30,2008,545,0.235990383,0.301611279,0.371370446
138,St. Louis Cardinals,2011,762,6242,5532,1513,308,22,162,542,44,40,2351,726,0.273499638,0.340857421,0.424981923
120,Washington Nationals,2013,656,6047,5436,1365,259,27,161,464,40,39,2161,621,0.251103753,0.312594079,0.397534952
138,St. Louis Cardinals,2015,647,6139,5484,1386,288,39,137,506,66,42,2163,619,0.25273523,0.321088882,0.394420131
158,Milwaukee Brewers,2015,655,6024,5480,1378,274,34,145,412,41,34,2155,624,0.251459854,0.306854366,0.393248175
137,San Francisco Giants,2010,697,6143,5488,1411,284,30,162,487,50,41,2241,660,0.257106414,0.321134191,0.408345481
121,New York Mets,2015,683,6145,5527,1351,295,17,177,488,68,32,2211,654,0.244436403,0.311856092,0.400036186
133,Oakland Athletics,2015,694,6171,5600,1405,277,46,146,475,40,38,2212,661,0.250892857,0.312042906,0.395
109,Arizona Diamondbacks,2016,752,6260,5665,1479,285,56,190,463,50,38,2446,709,0.261076787,0.32046332,0.431774051
141,Toronto Blue Jays,2016,759,6233,5479,1358,276,18,221,632,55,40,2333,728,0.247855448,0.32951982,0.425807629
112,Chicago Cubs,2016,808,6335,5503,1409,293,30,199,656,96,37,2359,767,0.256042159,0.343452003,0.428675268
121,New York Mets,2011,718,6335,5600,1477,309,39,108,571,51,48,2188,676,0.26375,0.33476874,0.390714286
119,Los Angeles Dodgers,2011,644,6094,5436,1395,237,28,117,498,45,43,2039,613,0.256622517,0.321819993,0.375091979
111,Boston Red Sox,2013,853,6382,5651,1566,363,29,178,581,72,50,2521,819,0.277119094,0.349228832,0.446115732
144,Atlanta Braves,2011,641,6169,5528,1345,244,16,173,504,28,30,2140,606,0.243306802,0.308210181,0.387120116
133,Oakland Athletics,2014,729,6245,5545,1354,253,33,146,586,49,43,2111,686,0.24418395,0.319620762,0.380703336
136,Seattle Mariners,2011,556,5972,5421,1263,253,22,109,435,37,41,1887,534,0.232982844,0.292382878,0.348090758
143,Philadelphia Phillies,2012,684,6172,5544,1414,271,28,158,454,63,39,2215,659,0.255050505,0.316557377,0.399531025
114,Cleveland Indians,2014,669,6222,5575,1411,284,23,142,504,42,49,2167,644,0.25309417,0.317179903,0.388699552
138,St. Louis Cardinals,2014,619,6086,5426,1371,275,21,105,471,86,39,2003,585,0.252672318,0.320159415,0.369148544
142,Minnesota Twins,2013,614,6212,5564,1346,285,15,151,533,52,32,2114,590,0.241912293,0.312408995,0.379942487
112,Chicago Cubs,2011,654,6130,5549,1423,285,36,148,425,59,35,2224,610,0.256442602,0.314271589,0.400792936
118,Kansas City Royals,2011,730,6267,5672,1560,325,41,129,442,39,57,2354,705,0.275035261,0.328663446,0.415021157
117,Houston Astros,2010,611,6005,5452,1348,252,25,108,415,33,29,1974,577,0.247248716,0.302917861,0.362068966
136,Seattle Mariners,2015,656,6131,5544,1379,262,22,198,478,36,35,2279,624,0.248737374,0.310684392,0.411075036
119,Los Angeles Dodgers,2015,667,6090,5385,1346,263,26,187,563,60,30,2222,638,0.249953575,0.326101358,0.412627669
140,Texas Rangers,2015,751,6187,5511,1419,279,32,172,503,76,54,2278,707,0.25748503,0.325195313,0.413355108
138,St. Louis Cardinals,2016,779,6223,5548,1415,299,32,225,526,70,41,2453,745,0.255046864,0.325141471,0.442141312
158,Milwaukee Brewers,2016,671,6061,5330,1299,249,19,194,599,37,39,2168,641,0.243714822,0.322231474,0.406754221
140,Texas Rangers,2016,765,6089,5525,1446,257,23,215,436,70,40,2394,746,0.261719457,0.321528578,0.433303167
110,Baltimore Orioles,2010,613,6109,5554,1440,264,21,133,424,54,45,2145,577,0.259272596,0.315616258,0.386208138
109,Arizona Diamondbacks,2013,685,6334,5676,1468,302,31,130,519,43,43,2222,647,0.25863284,0.323196943,0.391472868
134,Pittsburgh Pirates,2011,610,6064,5421,1325,277,35,107,489,34,44,1993,580,0.244419849,0.308617234,0.367644346
133,Oakland Athletics,2013,767,6209,5521,1403,301,25,186,573,45,49,2312,725,0.25412063,0.326599871,0.418764717
143,Philadelphia Phillies,2011,713,6279,5579,1409,258,38,153,539,56,38,2202,693,0.252554221,0.322601417,0.39469439
135,San Diego Padres,2014,535,5905,5294,1199,224,30,109,468,41,45,1810,500,0.226482811,0.292065663,0.341896487
112,Chicago Cubs,2013,602,6079,5498,1307,297,18,172,439,67,30,2156,576,0.237722808,0.300464037,0.392142597
146,Florida Marlins,2011,625,6232,5508,1358,274,30,149,542,51,42,2139,596,0.246550472,0.317597265,0.388344227
158,Milwaukee Brewers,2014,650,6065,5462,1366,297,28,150,423,73,37,2169,617,0.250091542,0.31059216,0.397107287
138,St. Louis Cardinals,2013,783,6202,5557,1494,322,20,125,481,64,44,2231,745,0.268850099,0.331760495,0.401475616
114,Cleveland Indians,2010,646,6165,5487,1362,290,20,128,545,64,33,2076,601,0.248223073,0.321585903,0.378348824
141,Toronto Blue Jays,2010,755,6072,5495,1364,319,21,257,471,55,34,2496,732,0.24822566,0.312138728,0.454231119
109,Arizona Diamondbacks,2010,713,6183,5473,1366,301,34,180,589,39,41,2275,691,0.249588891,0.324649951,0.41567696
133,Oakland Athletics,2010,663,6117,5448,1396,276,30,109,527,47,51,2059,619,0.256240822,0.324386629,0.377936858
142,Minnesota Twins,2010,781,6257,5568,1521,318,41,142,559,39,53,2347,749,0.273168103,0.340730021,0.421515805
134,Pittsburgh Pirates,2015,697,6285,5631,1462,292,27,140,461,89,41,2228,661,0.259634168,0.323368692,0.395666844
143,Philadelphia Phillies,2015,626,6053,5529,1374,272,37,130,387,54,29,2110,586,0.248507868,0.302550425,0.381624164
