#,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
32,2,1,0.54,69,0,0,0,47,0,0,67,254,38,7,4,1,18,3,0,10,0,74
41,4,1,1.55,59,0,0,0,36,0,3,58,222,32,12,10,2,18,0,0,8,1,90
33,2,2,1.64,75,0,0,0,47,0,4,71.1,270,52,16,13,3,12,0,1,4,0,65
34,3,2,1.83,71,0,0,0,47,0,6,68.2,251,35,14,14,4,11,2,2,1,0,104
47,2,1,1.87,45,0,0,0,27,0,3,43.1,176,33,9,9,0,16,0,3,4,0,47
38,2,4,1.91,57,0,0,0,37,1,3,56.2,226,43,12,12,6,15,1,2,1,0,71
53,6,3,1.92,76,0,0,0,19,14,4,79.2,313,55,20,17,5,18,3,2,3,0,103
51,4,7,2.25,69,0,0,0,22,8,6,68,289,67,21,17,2,26,7,3,1,0,58
48,3,2,2.33,59,0,0,0,27,6,1,58,241,55,17,15,2,18,3,4,3,0,42
37,3,2,2.43,73,0,0,0,38,10,5,70.1,285,63,19,19,5,23,0,3,3,0,55
30,19,5,2.44,32,32,2,0,0,0,0,202.2,796,154,57,55,21,52,0,6,4,0,197
43,3,5,2.51,67,0,0,0,32,0,3,68,264,41,23,19,8,27,2,0,3,0,87
31,3,4,2.55,78,0,0,0,51,0,5,77.2,321,63,25,22,1,31,6,1,3,0,84
42,4,3,2.68,72,0,0,0,36,0,6,74,288,55,23,22,9,14,4,3,4,1,82
2,15,9,2.74,34,34,4,1,0,0,0,226.2,912,178,79,69,26,54,0,8,4,1,251
7,18,5,2.79,32,32,5,2,0,0,0,219.2,881,195,71,68,15,45,1,8,3,1,198
55,0,4,2.79,49,0,0,0,18,13,3,51.2,217,45,16,16,5,15,2,3,6,1,88
36,1,4,2.81,67,0,0,0,40,2,3,64,278,52,21,20,1,35,3,4,6,0,73
49,4,6,2.81,62,0,0,0,25,9,7,64,258,44,21,20,8,21,2,4,4,0,76
9,16,10,2.83,34,33,0,0,0,1,0,210,855,173,72,66,17,73,4,13,6,1,172
5,20,7,2.96,34,34,1,0,0,0,0,228.1,902,165,77,75,31,56,2,6,2,1,284
4,16,9,3.04,34,34,2,0,0,0,0,227.2,903,171,81,77,30,57,1,8,6,0,254
27,16,9,3.04,31,31,0,0,0,0,0,195.1,809,169,68,66,15,70,1,11,8,0,174
52,2,6,3.06,65,0,0,0,20,8,3,64.2,266,57,23,22,3,20,0,3,6,0,68
59,2,5,3.06,70,0,0,0,15,23,5,67.2,272,52,26,23,10,20,1,3,0,0,58
29,14,4,3.07,31,31,0,0,0,0,0,199.2,805,179,75,68,22,36,0,3,7,0,165
8,18,9,3.14,32,32,3,2,0,0,0,215,860,170,82,75,22,57,1,7,5,1,227
6,22,4,3.15,33,33,3,0,0,0,0,223,890,193,85,78,23,32,0,13,3,0,189
57,0,2,3.15,54,0,0,0,17,1,3,54.1,224,59,22,19,5,8,1,2,0,0,35
17,13,12,3.2,32,32,0,0,0,0,0,208,837,192,76,74,22,50,1,4,10,1,181
35,3,4,3.24,61,0,0,0,44,0,5,58.1,235,45,24,21,6,21,1,1,4,0,52
60,4,3,3.28,59,0,0,0,15,15,6,57.2,230,38,23,21,5,18,2,2,6,0,67
14,15,5,3.32,32,32,0,0,0,0,0,200.2,848,185,83,74,24,77,1,8,4,1,200
3,17,10,3.34,32,32,6,1,0,0,0,226.2,907,190,88,84,27,45,2,17,2,0,233
44,2,6,3.4,57,0,0,0,31,1,2,53,220,28,22,20,4,30,0,4,6,0,83
50,2,4,3.44,67,0,0,0,25,8,3,65.1,283,54,27,25,5,37,3,5,5,1,74
39,5,3,3.47,62,0,0,0,37,0,7,62.1,267,53,24,24,6,32,4,1,1,0,75
56,2,3,3.53,54,0,0,0,18,7,5,51,200,42,20,20,8,8,0,2,3,0,58
45,2,5,3.57,62,0,0,0,31,3,9,58,241,50,23,23,8,19,2,5,4,2,65
46,6,7,3.62,63,0,0,0,30,3,7,64.2,270,63,27,26,7,20,3,2,4,1,49
25,11,14,3.65,33,33,0,0,0,0,0,197.1,811,187,88,80,30,42,2,8,6,2,167
21,11,11,3.68,33,33,0,0,0,0,0,195.2,818,173,81,80,33,66,1,13,4,0,184
19,12,11,3.81,32,32,1,0,0,0,0,203.1,829,190,88,86,24,54,4,1,2,0,167
1,17,9,3.99,35,35,2,0,0,0,0,230,951,227,106,102,30,50,1,7,4,0,228
13,9,19,4.02,33,33,0,0,0,0,0,201.1,850,183,100,90,30,67,0,3,11,0,233
16,13,12,4.08,33,33,0,0,0,0,0,198.1,838,184,93,90,25,72,1,6,6,1,178
18,16,12,4.12,33,33,0,0,0,0,0,199,836,218,95,91,28,46,3,5,4,0,147
58,2,5,4.14,65,0,0,0,17,8,6,63,271,54,30,29,5,37,1,3,3,1,49
26,12,8,4.26,35,28,1,0,0,0,0,190,811,179,96,90,20,70,1,9,3,0,168
10,9,10,4.37,32,32,0,0,0,0,0,204,855,209,104,99,21,54,0,4,9,1,166
54,2,4,4.37,37,0,0,0,19,1,3,35,152,37,18,17,3,14,3,0,1,0,31
11,10,11,4.39,33,33,0,0,0,0,0,198.2,855,205,110,97,18,76,0,4,3,2,103
22,8,14,4.42,32,32,1,1,0,0,0,197.2,817,202,104,97,26,44,0,5,7,0,144
23,11,12,4.45,32,32,2,0,0,0,0,186,816,190,96,92,23,78,1,8,13,1,144
15,13,9,4.62,33,33,1,1,0,0,0,198.2,847,220,108,102,22,59,4,5,1,0,161
28,8,16,4.62,32,32,0,0,0,0,0,179.1,807,186,108,92,25,86,2,17,8,0,140
24,14,8,4.79,32,32,1,1,0,0,0,186,814,204,107,99,22,59,5,7,4,0,138
40,3,5,4.85,70,0,0,0,37,1,6,68.2,297,78,38,37,6,22,2,2,3,0,47
12,10,11,5.37,34,34,0,0,0,0,0,189.1,853,217,124,113,23,76,1,7,5,1,139
